+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  3 |       NEW |     READY |
|                 0 |  3 |     READY |   RUNNING |
|                50 |  4 |       NEW |     READY |
|               100 |  2 |       NEW |     READY |
|               100 |  3 |   RUNNING |     READY |
|               100 |  4 |     READY |   RUNNING |
|               200 |  4 |   RUNNING |     READY |
|               200 |  2 |     READY |   RUNNING |
|               220 |  2 |   RUNNING |   WAITING |
|               220 |  3 |     READY |   RUNNING |
|               245 |  2 |   WAITING |     READY |
|               320 |  3 |   RUNNING |     READY |
|               320 |  4 |     READY |   RUNNING |
|               340 |  1 |       NEW |     READY |
|               370 |  4 |   RUNNING |   WAITING |
|               370 |  2 |     READY |   RUNNING |
|               390 |  2 |   RUNNING |   WAITING |
|               390 |  3 |     READY |   RUNNING |
|               415 |  2 |   WAITING |     READY |
|               490 |  3 |   RUNNING |     READY |
|               490 |  1 |     READY |   RUNNING |
|               550 |  1 |   RUNNING |   WAITING |
|               550 |  2 |     READY |   RUNNING |
|               570 |  4 |   WAITING |     READY |
|               570 |  2 |   RUNNING |   WAITING |
|               570 |  3 |     READY |   RUNNING |
|               585 |  1 |   WAITING |     READY |
|               595 |  2 |   WAITING |     READY |
|               670 |  3 |   RUNNING |     READY |
|               670 |  4 |     READY |   RUNNING |
|               770 |  4 |   RUNNING |     READY |
|               770 |  1 |     READY |   RUNNING |
|               830 |  1 |   RUNNING |   WAITING |
|               830 |  2 |     READY |   RUNNING |
|               850 |  2 |   RUNNING |   WAITING |
|               850 |  3 |     READY |   RUNNING |
|               865 |  1 |   WAITING |     READY |
|               875 |  2 |   WAITING |     READY |
|               950 |  3 |   RUNNING |   WAITING |
|               950 |  4 |     READY |   RUNNING |
|              1000 |  4 |   RUNNING |   WAITING |
|              1000 |  1 |     READY |   RUNNING |
|              1060 |  1 |   RUNNING |   WAITING |
|              1060 |  2 |     READY |   RUNNING |
|              1080 |  2 |   RUNNING |   WAITING |
|              1095 |  1 |   WAITING |     READY |
|              1095 |  1 |     READY |   RUNNING |
|              1105 |  2 |   WAITING |     READY |
|              1155 |  1 |   RUNNING |   WAITING |
|              1155 |  2 |     READY |   RUNNING |
|              1175 |  2 |   RUNNING |   WAITING |
|              1190 |  1 |   WAITING |     READY |
|              1190 |  1 |     READY |   RUNNING |
|              1200 |  2 |   WAITING |     READY |
|              1200 |  4 |   WAITING |     READY |
|              1250 |  1 |   RUNNING |   WAITING |
|              1250 |  2 |     READY |   RUNNING |
|              1270 |  2 |   RUNNING |   WAITING |
|              1270 |  4 |     READY |   RUNNING |
|              1285 |  1 |   WAITING |     READY |
|              1295 |  2 |   WAITING |     READY |
|              1370 |  4 |   RUNNING |     READY |
|              1370 |  1 |     READY |   RUNNING |
|              1430 |  1 |   RUNNING |   WAITING |
|              1430 |  2 |     READY |   RUNNING |
|              1450 |  2 |   RUNNING |   WAITING |
|              1450 |  4 |     READY |   RUNNING |
|              1465 |  1 |   WAITING |     READY |
|              1475 |  2 |   WAITING |     READY |
|              1500 |  4 |   RUNNING |   WAITING |
|              1500 |  1 |     READY |   RUNNING |
|              1560 |  1 |   RUNNING |   WAITING |
|              1560 |  2 |     READY |   RUNNING |
|              1580 |  2 |   RUNNING |   WAITING |
|              1595 |  1 |   WAITING |     READY |
|              1595 |  1 |     READY |   RUNNING |
|              1605 |  2 |   WAITING |     READY |
|              1655 |  1 |   RUNNING |   WAITING |
|              1655 |  2 |     READY |   RUNNING |
|              1675 |  2 |   RUNNING |   WAITING |
|              1690 |  1 |   WAITING |     READY |
|              1690 |  1 |     READY |   RUNNING |
|              1700 |  2 |   WAITING |     READY |
|              1700 |  4 |   WAITING |     READY |
|              1750 |  3 |   WAITING |     READY |
|              1750 |  1 |   RUNNING |   WAITING |
|              1750 |  2 |     READY |   RUNNING |
|              1770 |  2 |   RUNNING |   WAITING |
|              1770 |  4 |     READY |   RUNNING |
|              1785 |  1 |   WAITING |     READY |
|              1795 |  2 |   WAITING |     READY |
|              1870 |  4 |   RUNNING |     READY |
|              1870 |  3 |     READY |   RUNNING |
|              1970 |  3 |   RUNNING |     READY |
|              1970 |  1 |     READY |   RUNNING |
|              1980 |  1 |   RUNNING |TERMINATED |
|              1980 |  2 |     READY |   RUNNING |
|              2000 |  2 |   RUNNING |   WAITING |
|              2000 |  4 |     READY |   RUNNING |
|              2025 |  2 |   WAITING |     READY |
|              2050 |  4 |   RUNNING |   WAITING |
|              2050 |  3 |     READY |   RUNNING |
|              2150 |  3 |   RUNNING |     READY |
|              2150 |  2 |     READY |   RUNNING |
|              2160 |  2 |   RUNNING |TERMINATED |
|              2160 |  3 |     READY |   RUNNING |
|              2250 |  4 |   WAITING |     READY |
|              2260 |  3 |   RUNNING |     READY |
|              2260 |  4 |     READY |   RUNNING |
|              2360 |  4 |   RUNNING |     READY |
|              2360 |  3 |     READY |   RUNNING |
|              2460 |  3 |   RUNNING |     READY |
|              2460 |  4 |     READY |   RUNNING |
|              2510 |  4 |   RUNNING |   WAITING |
|              2510 |  3 |     READY |   RUNNING |
|              2610 |  3 |   RUNNING |   WAITING |
|              2710 |  4 |   WAITING |     READY |
|              2710 |  4 |     READY |   RUNNING |
|              2760 |  4 |   RUNNING |TERMINATED |
|              3410 |  3 |   WAITING |     READY |
|              3410 |  3 |     READY |   RUNNING |
|              3510 |  3 |   RUNNING |     READY |
|              3510 |  3 |     READY |   RUNNING |
|              3610 |  3 |   RUNNING |     READY |
|              3610 |  3 |     READY |   RUNNING |
|              3710 |  3 |   RUNNING |     READY |
|              3710 |  3 |     READY |   RUNNING |
|              3720 |  3 |   RUNNING |TERMINATED |
+------------------------------------------------+

Throughput: 4/3720
Average TAT: 2532
Average WT: 1001
Average RT: 389
