+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  4 |       NEW |     READY |
|                 0 |  4 |     READY |   RUNNING |
|                30 |  3 |       NEW |     READY |
|                30 |  4 |   RUNNING |     READY |
|                30 |  3 |     READY |   RUNNING |
|                80 |  2 |       NEW |     READY |
|                80 |  3 |   RUNNING |     READY |
|                80 |  2 |     READY |   RUNNING |
|               180 |  2 |   RUNNING |     READY |
|               180 |  2 |     READY |   RUNNING |
|               230 |  2 |   RUNNING |   WAITING |
|               230 |  3 |     READY |   RUNNING |
|               235 |  2 |   WAITING |     READY |
|               235 |  3 |   RUNNING |     READY |
|               235 |  2 |     READY |   RUNNING |
|               335 |  2 |   RUNNING |     READY |
|               335 |  2 |     READY |   RUNNING |
|               385 |  2 |   RUNNING |   WAITING |
|               385 |  3 |     READY |   RUNNING |
|               390 |  2 |   WAITING |     READY |
|               390 |  3 |   RUNNING |     READY |
|               390 |  2 |     READY |   RUNNING |
|               490 |  2 |   RUNNING |     READY |
|               490 |  2 |     READY |   RUNNING |
|               500 |  1 |       NEW |     READY |
|               500 |  2 |   RUNNING |     READY |
|               500 |  1 |     READY |   RUNNING |
|               600 |  1 |   RUNNING |     READY |
|               600 |  1 |     READY |   RUNNING |
|               700 |  1 |   RUNNING |     READY |
|               700 |  1 |     READY |   RUNNING |
|               800 |  1 |   RUNNING |     READY |
|               800 |  1 |     READY |   RUNNING |
|               850 |  1 |   RUNNING |   WAITING |
|               850 |  2 |     READY |   RUNNING |
|               870 |  1 |   WAITING |     READY |
|               870 |  2 |   RUNNING |     READY |
|               870 |  1 |     READY |   RUNNING |
|               970 |  1 |   RUNNING |     READY |
|               970 |  1 |     READY |   RUNNING |
|              1070 |  1 |   RUNNING |     READY |
|              1070 |  1 |     READY |   RUNNING |
|              1170 |  1 |   RUNNING |     READY |
|              1170 |  1 |     READY |   RUNNING |
|              1220 |  1 |   RUNNING |   WAITING |
|              1220 |  2 |     READY |   RUNNING |
|              1240 |  1 |   WAITING |     READY |
|              1240 |  2 |   RUNNING |   WAITING |
|              1240 |  1 |     READY |   RUNNING |
|              1245 |  2 |   WAITING |     READY |
|              1245 |  1 |   RUNNING |     READY |
|              1245 |  1 |     READY |   RUNNING |
|              1345 |  1 |   RUNNING |     READY |
|              1345 |  1 |     READY |   RUNNING |
|              1445 |  1 |   RUNNING |     READY |
|              1445 |  1 |     READY |   RUNNING |
|              1545 |  1 |   RUNNING |     READY |
|              1545 |  1 |     READY |   RUNNING |
|              1590 |  1 |   RUNNING |   WAITING |
|              1590 |  2 |     READY |   RUNNING |
|              1610 |  1 |   WAITING |     READY |
|              1610 |  2 |   RUNNING |     READY |
|              1610 |  1 |     READY |   RUNNING |
|              1710 |  1 |   RUNNING |     READY |
|              1710 |  1 |     READY |   RUNNING |
|              1810 |  1 |   RUNNING |     READY |
|              1810 |  1 |     READY |   RUNNING |
|              1910 |  1 |   RUNNING |     READY |
|              1910 |  1 |     READY |   RUNNING |
|              1960 |  1 |   RUNNING |   WAITING |
|              1960 |  2 |     READY |   RUNNING |
|              1980 |  1 |   WAITING |     READY |
|              1980 |  2 |   RUNNING |     READY |
|              1980 |  1 |     READY |   RUNNING |
|              2080 |  1 |   RUNNING |TERMINATED |
|              2080 |  2 |     READY |   RUNNING |
|              2180 |  2 |   RUNNING |     READY |
|              2180 |  2 |     READY |   RUNNING |
|              2190 |  2 |   RUNNING |   WAITING |
|              2190 |  3 |     READY |   RUNNING |
|              2195 |  2 |   WAITING |     READY |
|              2195 |  3 |   RUNNING |     READY |
|              2195 |  2 |     READY |   RUNNING |
|              2295 |  2 |   RUNNING |     READY |
|              2295 |  2 |     READY |   RUNNING |
|              2345 |  2 |   RUNNING |   WAITING |
|              2345 |  3 |     READY |   RUNNING |
|              2350 |  2 |   WAITING |     READY |
|              2350 |  3 |   RUNNING |     READY |
|              2350 |  2 |     READY |   RUNNING |
|              2450 |  2 |   RUNNING |     READY |
|              2450 |  2 |     READY |   RUNNING |
|              2500 |  2 |   RUNNING |   WAITING |
