+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                20 |  2 |       NEW |     READY |
|                20 |  1 |   RUNNING |     READY |
|                20 |  1 |     READY |   RUNNING |
|                50 |  1 |   RUNNING |   WAITING |
|                50 |  2 |     READY |   RUNNING |
|                70 |  2 |   RUNNING |   WAITING |
|               150 |  1 |   WAITING |     READY |
|               150 |  1 |     READY |   RUNNING |
|               160 |  2 |   WAITING |     READY |
|               160 |  1 |   RUNNING |     READY |
|               160 |  1 |     READY |   RUNNING |
|               200 |  1 |   RUNNING |   WAITING |
|               200 |  2 |     READY |   RUNNING |
|               220 |  2 |   RUNNING |   WAITING |
|               300 |  1 |   WAITING |     READY |
|               300 |  1 |     READY |   RUNNING |
|               310 |  2 |   WAITING |     READY |
|               310 |  1 |   RUNNING |     READY |
|               310 |  1 |     READY |   RUNNING |
|               350 |  1 |   RUNNING |   WAITING |
|               350 |  2 |     READY |   RUNNING |
|               370 |  2 |   RUNNING |   WAITING |
|               450 |  1 |   WAITING |     READY |
|               450 |  1 |     READY |   RUNNING |
|               460 |  2 |   WAITING |     READY |
|               460 |  1 |   RUNNING |     READY |
|               460 |  1 |     READY |   RUNNING |
|               500 |  1 |   RUNNING |   WAITING |
|               500 |  2 |     READY |   RUNNING |
|               520 |  2 |   RUNNING |   WAITING |
|               600 |  1 |   WAITING |     READY |
|               600 |  1 |     READY |   RUNNING |
|               610 |  2 |   WAITING |     READY |
|               610 |  1 |   RUNNING |     READY |
|               610 |  1 |     READY |   RUNNING |
|               650 |  1 |   RUNNING |   WAITING |
|               650 |  2 |     READY |   RUNNING |
|               670 |  2 |   RUNNING |   WAITING |
|               750 |  1 |   WAITING |     READY |
|               750 |  1 |     READY |   RUNNING |
|               760 |  2 |   WAITING |     READY |
|               760 |  1 |   RUNNING |     READY |
|               760 |  1 |     READY |   RUNNING |
|               800 |  1 |   RUNNING |   WAITING |
|               800 |  2 |     READY |   RUNNING |
|               820 |  2 |   RUNNING |   WAITING |
|               900 |  1 |   WAITING |     READY |
|               900 |  1 |     READY |   RUNNING |
|               910 |  2 |   WAITING |     READY |
|               910 |  1 |   RUNNING |     READY |
|               910 |  1 |     READY |   RUNNING |
|               950 |  1 |   RUNNING |   WAITING |
|               950 |  2 |     READY |   RUNNING |
|               970 |  2 |   RUNNING |   WAITING |
|              1050 |  1 |   WAITING |     READY |
|              1050 |  1 |     READY |   RUNNING |
|              1060 |  2 |   WAITING |     READY |
|              1060 |  1 |   RUNNING |     READY |
|              1060 |  1 |     READY |   RUNNING |
|              1100 |  1 |   RUNNING |   WAITING |
|              1100 |  2 |     READY |   RUNNING |
|              1120 |  2 |   RUNNING |   WAITING |
|              1200 |  1 |   WAITING |     READY |
|              1200 |  1 |     READY |   RUNNING |
|              1210 |  2 |   WAITING |     READY |
|              1210 |  1 |   RUNNING |     READY |
|              1210 |  1 |     READY |   RUNNING |
|              1250 |  1 |   RUNNING |   WAITING |
|              1250 |  2 |     READY |   RUNNING |
|              1270 |  2 |   RUNNING |   WAITING |
|              1350 |  1 |   WAITING |     READY |
|              1350 |  1 |     READY |   RUNNING |
|              1360 |  2 |   WAITING |     READY |
|              1360 |  1 |   RUNNING |     READY |
|              1360 |  1 |     READY |   RUNNING |
