+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  2 |       NEW |     READY |
|                 0 |  2 |     READY |   RUNNING |
|                 8 |  1 |       NEW |     READY |
|                20 |  2 |   RUNNING |   WAITING |
|                20 |  1 |     READY |   RUNNING |
|                60 |  3 |       NEW |     READY |
|                80 |  2 |   WAITING |     READY |
|                85 |  1 |   RUNNING |   WAITING |
|                85 |  3 |     READY |   RUNNING |
|                90 |  3 |   RUNNING |   WAITING |
|                90 |  2 |     READY |   RUNNING |
|               105 |  3 |   WAITING |     READY |
|               110 |  2 |   RUNNING |   WAITING |
|               110 |  3 |     READY |   RUNNING |
|               115 |  3 |   RUNNING |   WAITING |
|               130 |  3 |   WAITING |     READY |
|               130 |  3 |     READY |   RUNNING |
|               135 |  3 |   RUNNING |   WAITING |
|               150 |  3 |   WAITING |     READY |
|               150 |  3 |     READY |   RUNNING |
|               155 |  3 |   RUNNING |   WAITING |
|               170 |  3 |   WAITING |     READY |
|               170 |  2 |   WAITING |     READY |
|               170 |  3 |     READY |   RUNNING |
|               175 |  3 |   RUNNING |   WAITING |
|               175 |  2 |     READY |   RUNNING |
|               190 |  3 |   WAITING |     READY |
|               195 |  2 |   RUNNING |TERMINATED |
|               195 |  3 |     READY |   RUNNING |
|               200 |  3 |   RUNNING |   WAITING |
|               215 |  3 |   WAITING |     READY |
|               215 |  3 |     READY |   RUNNING |
|               220 |  3 |   RUNNING |   WAITING |
|               235 |  3 |   WAITING |     READY |
|               235 |  3 |     READY |   RUNNING |
|               240 |  3 |   RUNNING |   WAITING |
|               255 |  3 |   WAITING |     READY |
|               255 |  3 |     READY |   RUNNING |
|               260 |  3 |   RUNNING |   WAITING |
|               265 |  1 |   WAITING |     READY |
|               265 |  1 |     READY |   RUNNING |
|               275 |  3 |   WAITING |     READY |
|               330 |  1 |   RUNNING |   WAITING |
|               330 |  3 |     READY |   RUNNING |
|               335 |  3 |   RUNNING |   WAITING |
|               350 |  3 |   WAITING |     READY |
|               350 |  3 |     READY |   RUNNING |
|               355 |  3 |   RUNNING |   WAITING |
|               370 |  3 |   WAITING |     READY |
|               370 |  3 |     READY |   RUNNING |
|               375 |  3 |   RUNNING |   WAITING |
|               390 |  3 |   WAITING |     READY |
|               390 |  3 |     READY |   RUNNING |
|               395 |  3 |   RUNNING |   WAITING |
|               410 |  3 |   WAITING |     READY |
|               410 |  3 |     READY |   RUNNING |
|               415 |  3 |   RUNNING |   WAITING |
|               430 |  3 |   WAITING |     READY |
|               430 |  3 |     READY |   RUNNING |
|               435 |  3 |   RUNNING |   WAITING |
|               450 |  4 |       NEW |     READY |
|               450 |  3 |   WAITING |     READY |
|               450 |  4 |     READY |   RUNNING |
|               480 |  4 |   RUNNING |   WAITING |
|               480 |  3 |     READY |   RUNNING |
|               485 |  3 |   RUNNING |   WAITING |
|               500 |  3 |   WAITING |     READY |
|               500 |  3 |     READY |   RUNNING |
|               505 |  3 |   RUNNING |   WAITING |
|               510 |  1 |   WAITING |     READY |
|               510 |  1 |     READY |   RUNNING |
|               520 |  3 |   WAITING |     READY |
|               530 |  1 |   RUNNING |TERMINATED |
|               530 |  3 |     READY |   RUNNING |
|               535 |  3 |   RUNNING |   WAITING |
|               540 |  4 |   WAITING |     READY |
|               540 |  4 |     READY |   RUNNING |
|               550 |  3 |   WAITING |     READY |
|               570 |  4 |   RUNNING |   WAITING |
|               570 |  3 |     READY |   RUNNING |
|               575 |  3 |   RUNNING |   WAITING |
|               590 |  3 |   WAITING |     READY |
|               590 |  3 |     READY |   RUNNING |
|               595 |  3 |   RUNNING |   WAITING |
|               610 |  3 |   WAITING |     READY |
|               610 |  3 |     READY |   RUNNING |
|               615 |  3 |   RUNNING |   WAITING |
|               630 |  3 |   WAITING |     READY |
|               630 |  4 |   WAITING |     READY |
|               630 |  3 |     READY |   RUNNING |
|               635 |  3 |   RUNNING |   WAITING |
|               635 |  4 |     READY |   RUNNING |
|               650 |  3 |   WAITING |     READY |
|               665 |  4 |   RUNNING |   WAITING |
|               665 |  3 |     READY |   RUNNING |
|               670 |  3 |   RUNNING |   WAITING |
|               685 |  3 |   WAITING |     READY |
|               685 |  3 |     READY |   RUNNING |
|               690 |  3 |   RUNNING |   WAITING |
|               705 |  3 |   WAITING |     READY |
|               705 |  3 |     READY |   RUNNING |
|               710 |  3 |   RUNNING |   WAITING |
|               725 |  3 |   WAITING |     READY |
|               725 |  4 |   WAITING |     READY |
|               725 |  3 |     READY |   RUNNING |
|               730 |  3 |   RUNNING |   WAITING |
|               730 |  4 |     READY |   RUNNING |
|               745 |  3 |   WAITING |     READY |
|               760 |  4 |   RUNNING |   WAITING |
|               760 |  3 |     READY |   RUNNING |
|               765 |  3 |   RUNNING |   WAITING |
|               780 |  3 |   WAITING |     READY |
